ID,착과량(int)
TEST_0000,247.04204722307625
TEST_0001,746.6058118675546
TEST_0002,155.34763366404312
TEST_0003,440.8342796129367
TEST_0004,688.2486740747219
TEST_0005,287.1468186122989
TEST_0006,59.317041019795326
TEST_0007,44.528088155821905
TEST_0008,361.5493071952971
TEST_0009,233.58906963278997
TEST_0010,564.5549118556978
TEST_0011,744.8124015200607
TEST_0012,443.5177904742843
TEST_0013,380.5214845592384
TEST_0014,70.35444396824668
TEST_0015,147.01096814814596
TEST_0016,459.00373933840183
TEST_0017,409.4553889992622
TEST_0018,244.93933547495092
TEST_0019,577.6121911946989
TEST_0020,246.87210159886095
TEST_0021,349.9197763295581
TEST_0022,450.92467934336844
TEST_0023,255.05764386989128
TEST_0024,161.58969667656615
TEST_0025,643.7641074723408
TEST_0026,163.70044248551557
TEST_0027,751.7132591412501
TEST_0028,634.2647565069012
TEST_0029,459.77560300124185
TEST_0030,36.54757908023205
TEST_0031,578.1019125174561
TEST_0032,654.8507345887344
TEST_0033,549.1821160678783
TEST_0034,559.1670130815173
TEST_0035,354.171676312423
TEST_0036,254.56079056545445
TEST_0037,650.207342199363
TEST_0038,34.51310111217807
TEST_0039,447.1235073465635
TEST_0040,374.93338448695454
TEST_0041,155.12716624438025
TEST_0042,735.8556198660874
TEST_0043,90.19855674683131
TEST_0044,590.9131514657452
TEST_0045,343.2629522739759
TEST_0046,747.4719743829403
TEST_0047,475.4692179621309
TEST_0048,357.7818785589713
TEST_0049,454.2739715678313
TEST_0050,544.1375492250875
TEST_0051,644.4775471577966
TEST_0052,411.2366941102278
TEST_0053,449.77937769151305
TEST_0054,368.04198847042767
TEST_0055,161.09684774522188
TEST_0056,749.6529193662527
TEST_0057,538.457088234388
TEST_0058,560.9284119961451
TEST_0059,538.0355102167891
TEST_0060,442.6895833805025
TEST_0061,46.34834966742489
TEST_0062,541.7961876957737
TEST_0063,350.25292752695367
TEST_0064,526.0573361040398
TEST_0065,347.35170719084107
TEST_0066,452.2850186328773
TEST_0067,453.29655726434237
TEST_0068,143.68175992721444
TEST_0069,685.2035752139454
TEST_0070,750.4982303904453
TEST_0071,748.4006081257273
TEST_0072,648.9473654828795
TEST_0073,256.66245685986826
TEST_0074,153.64711180708008
TEST_0075,251.2573450551849
TEST_0076,158.66382485565
TEST_0077,649.3671915728456
TEST_0078,749.7581855356825
TEST_0079,342.1729421378387
TEST_0080,263.24243346853984
TEST_0081,39.93805586954336
TEST_0082,52.55277588622375
TEST_0083,637.4066542602845
TEST_0084,634.514726895873
TEST_0085,504.4490757170319
TEST_0086,250.3158618964415
TEST_0087,345.7160111689703
TEST_0088,52.653496553555414
TEST_0089,145.32150871409638
TEST_0090,41.07604937984291
TEST_0091,382.3801019620895
TEST_0092,539.9659453339527
TEST_0093,537.1863591904564
TEST_0094,539.384234548673
TEST_0095,352.9751224972423
TEST_0096,248.3298391153753
TEST_0097,247.7375024089773
TEST_0098,238.45806250847954
TEST_0099,631.8863559083414
TEST_0100,710.3115156009274
TEST_0101,260.90946776887586
TEST_0102,441.99150863222883
TEST_0103,553.1666463937785
TEST_0104,231.96366928291494
TEST_0105,747.0582282960136
TEST_0106,154.2822395675485
TEST_0107,52.00078291232104
TEST_0108,455.3089391452774
TEST_0109,246.296444335105
TEST_0110,643.0309343015209
TEST_0111,328.4417253538727
TEST_0112,568.0778038855169
TEST_0113,448.18852890335035
TEST_0114,699.4291229096258
TEST_0115,152.18912741688672
TEST_0116,665.1936954674386
TEST_0117,648.505024719841
